assumption,method,restricted_logloss,augmented_logloss,incremental_logloss,restricted_auc,augmented_auc,restricted_r2,augmented_r2,incremental_r2,treatment
sufficiency_i,encoder_pred,0.2939053490999869,0.2873604975857879,0.006544851514198979,0.8708974720213019,0.8761083014892179,,,,
sufficiency_i,mi_mine_cond,0.2968889686296554,0.2880238754185185,0.008865093211136932,0.8725875014435905,0.8796021450548054,,,,
sufficiency_i,mi_infonce_cond,0.2922482132390636,0.2820893477817139,0.010158865457349675,0.8737971380163266,0.8829285746917243,,,,
sufficiency_i,pls,0.285840553123542,0.2840847905844468,0.001755762539095207,0.8773230456055404,0.881900823421152,,,,
sufficiency_i,pca,0.29668083285319097,0.2883847753607144,0.008296057492476583,0.8740369088124705,0.8804712787217748,,,,
sufficiency_i,ica,0.2934918867909316,0.28333039163427404,0.01016149515665754,0.8750066327128518,0.8816369336691827,,,,
sufficiency_i,autoencoder,0.292754570844452,0.28240158991825276,0.01035298092619924,0.8733224202152037,0.8841963805108621,,,,
sufficiency_ii_historical_proxy,encoder_pred,,,,,,0.37225226350043783,0.3812888459940045,0.009036582493566647,
sufficiency_ii_historical_proxy,mi_mine_cond,,,,,,0.3361933753162228,0.35773889777292844,0.021545522456705657,
sufficiency_ii_historical_proxy,mi_infonce_cond,,,,,,0.33288699528330223,0.34881631571249383,0.015929320429191596,
sufficiency_ii_historical_proxy,pls,,,,,,0.33821424896621005,0.3713901675521554,0.033175918585945374,
sufficiency_ii_historical_proxy,pca,,,,,,0.22640742015702767,0.34923329442766277,0.1228258742706351,
sufficiency_ii_historical_proxy,ica,,,,,,0.21619712991413578,0.3431843848391212,0.12698725492498544,
sufficiency_ii_historical_proxy,autoencoder,,,,,,0.21023624954423073,0.34793818969413676,0.13770194014990603,
sufficiency_ii_potential,encoder_pred,,,,,,0.4192977265744468,0.4339117818016474,0.014614055227200606,treatment_0
sufficiency_ii_potential,encoder_pred,,,,,,0.3759236028262238,0.4138015144996583,0.03787791167343452,treatment_1
sufficiency_ii_potential,mi_mine_cond,,,,,,0.36432769513012075,0.41438037017660373,0.050052675046482975,treatment_0
sufficiency_ii_potential,mi_mine_cond,,,,,,0.3224912344658995,0.3996712593399745,0.07718002487407499,treatment_1
sufficiency_ii_potential,mi_infonce_cond,,,,,,0.3520555295735148,0.40889695589298236,0.056841426319467536,treatment_0
sufficiency_ii_potential,mi_infonce_cond,,,,,,0.3173866278774486,0.40112868129920703,0.08374205342175844,treatment_1
sufficiency_ii_potential,pls,,,,,,0.3962072086376053,0.42235128898139807,0.026144080343792786,treatment_0
sufficiency_ii_potential,pls,,,,,,0.3603874838225783,0.40470750977733433,0.04432002595475604,treatment_1
sufficiency_ii_potential,pca,,,,,,0.2370592214730745,0.40264324331432577,0.16558402184125126,treatment_0
sufficiency_ii_potential,pca,,,,,,0.20932199051413755,0.39611544865433884,0.1867934581402013,treatment_1
sufficiency_ii_potential,ica,,,,,,0.23472829023524824,0.400006743518057,0.16527845328280874,treatment_0
sufficiency_ii_potential,ica,,,,,,0.20986676173699945,0.39517530767185666,0.1853085459348572,treatment_1
sufficiency_ii_potential,autoencoder,,,,,,0.23007899612565608,0.4047947322759903,0.1747157361503342,treatment_0
sufficiency_ii_potential,autoencoder,,,,,,0.2069848792812627,0.3971986334536582,0.1902137541723955,treatment_1
