dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_predicted_phi10,0,100,10,encoder_pred,econml_dml,predicted,none,0.0799999833106994,0.0194545724357267,0.0113469794746532,True,10,0.08481841,0.13307382,0.0194545724357267,0.1697620375251808,0.184078662277385,1.383282318621236,0.3743826381323831,0.4672132397548952,0.3659292977683827
semisynthetic_predicted_phi10,0,100,10,mi_mine_cond,econml_dml,predicted,none,0.0799999833106994,0.0386525412347811,0.0469358180364087,True,10,0.08481841,0.13307382,0.0386525412347811,0.1812702376131655,0.1752820151741558,1.317178804772838,0.4554918552443092,0.6342325260383603,0.5570434702075902
semisynthetic_predicted_phi10,0,100,10,mi_infonce_cond,econml_dml,predicted,none,0.0799999833106994,0.0786629476117503,0.0575397481042537,True,10,0.08481841,0.13307382,0.0786629476117503,0.1994491339306599,0.1948875229728641,1.4645068652336284,0.3682039997080235,0.4964166563895942,0.5286027382931372
semisynthetic_predicted_phi10,0,100,10,autoencoder,econml_dml,predicted,none,0.0799999833106994,0.0302831990419474,0.0237706968796273,True,10,0.08481841,0.13307382,0.0302831990419474,0.1277829933341191,0.1755811691043176,1.3194268347021043,0.1817886990897441,0.1989342293377298,0.2256979728157314
semisynthetic_predicted_phi10,0,100,10,pls,econml_dml,predicted,none,0.0799999833106994,0.0849767410108518,0.0564972115925273,True,10,0.08481841,0.13307382,0.0849767410108518,0.3026811483866374,0.290387789472561,2.18215565971249,0.3103293980551279,0.4871282976853612,0.4229083804032289
semisynthetic_predicted_phi10,0,100,10,pca,econml_dml,predicted,none,0.0799999833106994,0.0772111297110185,0.0710429386744234,True,10,0.08481841,0.13307382,0.0772111297110185,0.1482167282417587,0.1752852301577436,1.3172029641723944,0.2283995666429414,0.3101450107534029,0.2496627968472946
semisynthetic_predicted_phi10,0,100,10,ica,econml_dml,predicted,none,0.0799999833106994,0.0237394328873816,0.0221923099372715,True,10,0.08481841,0.13307382,0.0237394328873816,0.0972768549755164,0.1623271374447716,1.219827742562524,0.1758196008065076,0.141544917881403,0.20921613745571
semisynthetic_predicted_phi10,0,100,10,raw_x,econml_dml,predicted,none,0.0799999833106994,0.1101427420908437,0.0029789613586267,True,205,0.08481841,0.13307382,0.1101427420908437,0.5886368205204398,0.6106649182651315,4.588918528566562,-0.051501017780789,-0.0960763740413454,0.0467590457623393
semisynthetic_predicted_phi10,0,100,10,raw_x_s,econml_dml,predicted,none,0.0799999833106994,0.1884897918915341,0.0649637723528153,True,205,0.08481841,0.13307382,0.1884897918915341,0.7319038643221873,0.7297650428226536,5.483911432185937,0.1621331675466519,0.1529630768426082,0.2084006713170193
semisynthetic_predicted_phi10,0,250,10,encoder_pred,econml_dml,predicted,none,0.1334276795387268,0.0279545590007934,0.0247321091359343,True,10,0.08481841,0.13307382,0.0279545590007934,0.0895057055259619,0.1387525670943626,1.042673661087978,0.4072389165069123,0.4881653128308896,0.5537188318862541
semisynthetic_predicted_phi10,0,250,10,mi_mine_cond,econml_dml,predicted,none,0.1334276795387268,0.045961379916079,0.0373274423761937,True,10,0.08481841,0.13307382,0.045961379916079,0.1036438582020342,0.1343182703861589,1.0093515793426453,0.432095319640162,0.534069423217114,0.5870394501834831
