dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_predicted_phi5,0,1000,5,ica,econml_dml,predicted,none,0.1022775173187255,0.0147695524984153,0.0136589613668339,True,5,0.08481841,0.13307382,0.0147695524984153,0.0473147240339786,0.1485300058398193,1.11614745740236,0.2217955236385052,0.3624287613706822,0.3187925225575521
semisynthetic_predicted_phi5,0,1000,5,raw_x,econml_dml,predicted,none,0.1022775173187255,-0.0034734899007823,-0.0060667038513644,True,284,0.08481841,0.13307382,-0.0034734899007823,0.1686698144531867,0.2294284037470306,1.7240686691569436,0.0293202064683232,0.0754414733764299,0.1888982518922206
semisynthetic_predicted_phi5,0,1000,5,raw_x_s,econml_dml,predicted,none,0.1022775173187255,0.0578295759400372,0.0421646339991538,True,284,0.08481841,0.13307382,0.0578295759400372,0.2774890601534931,0.2806755807240804,2.109172042435397,0.2255618993033999,0.1966634248930423,0.3452927348883355
semisynthetic_predicted_phi5,1,100,5,encoder_pred,econml_dml,predicted,none,0.0156062245368957,0.0727801950870747,0.0732717628646015,True,5,0.08496582,0.13391817,0.0727801950870747,0.1632699243544949,0.1839801764140576,1.3738253473300723,0.2490515004675337,0.4550286600628193,0.4496125918220028
semisynthetic_predicted_phi5,1,100,5,mi_mine_cond,econml_dml,predicted,none,0.0156062245368957,0.0613752051970288,0.0726464805735805,True,5,0.08496582,0.13391817,0.0613752051970288,0.100619220603657,0.1375332765538606,1.0269948921334615,0.3599110592580872,0.5202507024265177,0.4584919573341476
semisynthetic_predicted_phi5,1,100,5,mi_infonce_cond,econml_dml,predicted,none,0.0156062245368957,0.0610118209235786,0.0663011268293804,True,5,0.08496582,0.13391817,0.0610118209235786,0.0982941702351539,0.1512198101497986,1.1291956136333003,0.2013990140734605,0.2341604783189933,0.3935409144795799
semisynthetic_predicted_phi5,1,100,5,autoencoder,econml_dml,predicted,none,0.0156062245368957,0.0484625541196925,0.0340147994494067,True,5,0.08496582,0.13391817,0.0484625541196925,0.1020216238020566,0.1621819271077705,1.211052444248383,0.1234029385662846,0.2802915030607648,0.1870735840180802
semisynthetic_predicted_phi5,1,100,5,pls,econml_dml,predicted,none,0.0156062245368957,0.0679851722092332,0.0528652226179805,True,5,0.08496582,0.13391817,0.0679851722092332,0.1340222553147676,0.1745304549766549,1.303261947028211,0.159446668527328,0.2820314590900325,0.2851063298454083
semisynthetic_predicted_phi5,1,100,5,pca,econml_dml,predicted,none,0.0156062245368957,0.1249670697108193,0.1222359598955473,True,5,0.08496582,0.13391817,0.1249670697108193,0.0764205117185606,0.1506134233882365,1.1246675741479784,0.1314168918154901,0.2359647083942471,0.1576621350651497
semisynthetic_predicted_phi5,1,100,5,ica,econml_dml,predicted,none,0.0156062245368957,0.0872382729866139,0.0800573097851213,True,5,0.08496582,0.13391817,0.0872382729866139,0.1068711551552663,0.1533468072584042,1.1450784255669282,0.2042147712822464,0.3596807229047737,0.2193037061373511
semisynthetic_predicted_phi5,1,100,5,raw_x,econml_dml,predicted,none,0.0156062245368957,0.0234219989466948,-0.0096490786294063,True,198,0.08496582,0.13391817,0.0234219989466948,0.538351382638184,0.5370808353348839,4.010515043140777,0.1601227180814481,0.1513106454947196,0.2344871483137064
semisynthetic_predicted_phi5,1,100,5,raw_x_s,econml_dml,predicted,none,0.0156062245368957,0.1022641965740976,0.072001182090086,True,198,0.08496582,0.13391817,0.1022641965740976,0.6103487140678694,0.6037346815149626,4.508235749599644,0.1606577579955659,0.1547620346924691,0.2577161466963965
semisynthetic_predicted_phi5,1,250,5,encoder_pred,econml_dml,predicted,none,0.1282249689102172,0.0228799283055959,0.0195341192034003,True,5,0.08496582,0.13391817,0.0228799283055959,0.0676804349587535,0.1348568806819626,1.0070095841509976,0.4514188962932103,0.5800069261024545,0.5863032105490057
semisynthetic_predicted_phi5,1,250,5,mi_mine_cond,econml_dml,predicted,none,0.1282249689102172,0.0420787345039035,0.0399037738104567,True,5,0.08496582,0.13391817,0.0420787345039035,0.126452186468693,0.1415653099510303,1.0571030798212844,0.4642307999619451,0.6670761624161743,0.5134671500043158
semisynthetic_predicted_phi5,1,250,5,mi_infonce_cond,econml_dml,predicted,none,0.1282249689102172,0.0369272504610792,0.0412323016884922,True,5,0.08496582,0.13391817,0.0369272504610792,0.1248527392083554,0.1587208424000825,1.1852076712225277,0.3181115007523902,0.4248076755752225,0.3970374169365954
semisynthetic_predicted_phi5,1,250,5,autoencoder,econml_dml,predicted,none,0.1282249689102172,0.0570258161893944,0.0531091238521367,True,5,0.08496582,0.13391817,0.0570258161893944,0.1600095158017085,0.1925903075979834,1.4381193201638245,0.1686269576758642,0.2385660661693232,0.257870078689308
semisynthetic_predicted_phi5,1,250,5,pls,econml_dml,predicted,none,0.1282249689102172,0.0119458698044841,0.0096620947614196,True,5,0.08496582,0.13391817,0.0119458698044841,0.1525253229358334,0.1819814081663946,1.3589000519227126,0.3283263481199044,0.5616578526423007,0.4183061277254344
semisynthetic_predicted_phi5,1,250,5,pca,econml_dml,predicted,none,0.1282249689102172,0.0361132062478957,0.0324670539623664,True,5,0.08496582,0.13391817,0.0361132062478957,0.1635600884873413,0.1929616523029025,1.4408922426501385,0.2245824101197709,0.4522865049806725,0.3230286985059909
semisynthetic_predicted_phi5,1,250,5,ica,econml_dml,predicted,none,0.1282249689102172,0.0643303801592878,0.0595694331100247,True,5,0.08496582,0.13391817,0.0643303801592878,0.1445041952117318,0.1684449204450682,1.2578197599703478,0.2807930946957067,0.5593084282319238,0.3321292504182507
semisynthetic_predicted_phi5,1,250,5,raw_x,econml_dml,predicted,none,0.1282249689102172,-0.003139408345643,-0.0086104342063716,True,236,0.08496582,0.13391817,-0.003139408345643,0.4192033510740692,0.4578952543814506,3.419216782767048,-0.0733894074082651,-0.0604275895033437,0.0396108969184499
