dataset,seed,n,phi_dim,method,cate_learner,outcome_source,ate_calibration,observed_ate,raw_tau_hat_mean,train_tau_hat_mean,standardized_representation,cate_feature_dim,tau_true_mean,tau_true_std,tau_hat_mean,tau_hat_std,pehe,pehe_norm,pearson,spearman,policy_norm_20
semisynthetic_true_phi5,0,500,5,autoencoder,econml_dml,True,none,0.0344794392585754,0.0210907887095451,0.0223742307109899,True,5,0.08481841,0.13307382,0.0210907887095451,0.0753307470249081,0.1558462376332749,1.1711261890933091,0.1574396087365768,0.1959987593769234,0.2346623696826816
semisynthetic_true_phi5,0,500,5,pls,econml_dml,True,none,0.0344794392585754,0.0437564069399678,0.0448100714602495,True,5,0.08481841,0.13307382,0.0437564069399678,0.0930499460457403,0.1524193973210565,1.1453747657902755,0.1946838153178395,0.2358749756840367,0.2637045572766487
semisynthetic_true_phi5,0,500,5,pca,econml_dml,True,none,0.0344794392585754,0.0312250124175783,0.0305796286957138,True,5,0.08481841,0.13307382,0.0312250124175783,0.1116316745200236,0.16960249237663,1.2744992986302346,0.1439732719940795,0.0016118362170597,0.2250583127452285
semisynthetic_true_phi5,0,500,5,ica,econml_dml,True,none,0.0344794392585754,0.0244451842050765,0.0240273041787004,True,5,0.08481841,0.13307382,0.0244451842050765,0.1005086299697078,0.1686325739986848,1.2672107247708682,0.1128445639259853,-0.0051888448654586,0.2224907800618661
semisynthetic_true_phi5,0,500,5,raw_x,econml_dml,True,none,0.0344794392585754,0.021496186380363,0.0238724608526511,True,260,0.08481841,0.13307382,0.021496186380363,0.5613889780646992,0.5686265601473414,4.273015932342335,0.090620117574266,0.1982117055043172,0.1855313252622385
semisynthetic_true_phi5,0,750,5,encoder_pred,econml_dml,True,none,0.1015726923942565,0.101824140588307,0.1002163031599539,True,5,0.08481841,0.13307382,0.101824140588307,0.0565087063481624,0.125611315357501,0.9439220560960092,0.3599063178480706,0.4436392385368836,0.5507677402912927
semisynthetic_true_phi5,0,750,5,mi_mine_cond,econml_dml,True,none,0.1015726923942565,0.1226997382877599,0.1190762535301259,True,5,0.08481841,0.13307382,0.1226997382877599,0.0970118158294783,0.1259282854653512,0.946303967909219,0.4917606203504597,0.6463024618623502,0.5948718772932927
semisynthetic_true_phi5,0,750,5,mi_infonce_cond,econml_dml,True,none,0.1015726923942565,0.1009167691768406,0.100168691221651,True,5,0.08481841,0.13307382,0.1009167691768406,0.0748570486332668,0.125183136934843,0.94070445538909,0.3965541568330276,0.598893410252534,0.5176917618356709
semisynthetic_true_phi5,0,750,5,autoencoder,econml_dml,True,none,0.1015726923942565,0.1338049913930057,0.1313794430540409,True,5,0.08481841,0.13307382,0.1338049913930057,0.0917745793850314,0.1541500341575751,1.158379854356005,0.1952324735734322,0.3531978762827156,0.3080429267171935
semisynthetic_true_phi5,0,750,5,pls,econml_dml,True,none,0.1015726923942565,0.0983953347118794,0.0941599788603902,True,5,0.08481841,0.13307382,0.0983953347118794,0.1100266055594772,0.1424908108209683,1.0707651515479808,0.3310825794302778,0.5690203664227904,0.4095884853546431
semisynthetic_true_phi5,0,750,5,pca,econml_dml,True,none,0.1015726923942565,0.1197097042514433,0.1150451524643769,True,5,0.08481841,0.13307382,0.1197097042514433,0.1041691499005833,0.1532073962993136,1.1512962833991078,0.227408209692114,0.4985986368826346,0.327528549383885
semisynthetic_true_phi5,0,750,5,ica,econml_dml,True,none,0.1015726923942565,0.1316261427634988,0.1279487884556781,True,5,0.08481841,0.13307382,0.1316261427634988,0.1336557268993798,0.1744549810213402,1.3109639359573837,0.2060296551231069,0.4712849454124125,0.2881830986277312
semisynthetic_true_phi5,0,750,5,raw_x,econml_dml,True,none,0.1015726923942565,0.1134825611613021,0.1125096742132942,True,278,0.08481841,0.13307382,0.1134825611613021,0.4890377049927897,0.480753631908999,3.61268374123484,0.2040939385778824,0.2365656726891175,0.3047709841075662
semisynthetic_true_phi5,0,1000,5,encoder_pred,econml_dml,True,none,0.1022775173187255,0.1176430798790793,0.1138178511097535,True,5,0.08481841,0.13307382,0.1176430798790793,0.1115005326937521,0.143179290354993,1.0759388177538245,0.3611775121712879,0.5210464411848712,0.4108020017256528
